product_id,product_name,category,description,user_id,rating
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,19,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,14,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,13,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,2,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,17,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,6,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,2,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,13,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,12,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,7,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,2,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,20,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,6,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,20,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,6,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,10,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,12,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,1,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,3,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,2,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,5,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,3,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,11,2
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,7,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,2,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,20,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,20,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,14,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,10,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,1,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,9,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,2,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,16,5
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,6,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,3,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,10,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,13,4
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,8,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,7,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,13,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,6,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,8,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,18,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,2,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,6,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,10,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,12,5
106,Adidas Ultraboost,Fashion,High performance running shoes boost,6,1
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,1,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,3,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,18,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,18,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,15,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,4,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,19,1
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,14,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,16,5
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,7,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,16,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,12,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,12,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,3,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,10,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,10,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,6,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,16,4
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,1,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,9,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,11,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,13,1
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,13,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,4,5
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,4,5
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,5,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,1,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,15,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,18,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,13,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,15,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,8,5
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,3,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,9,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,16,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,11,4
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,10,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,9,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,13,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,7,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,5,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,7,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,18,5
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,17,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,1,1
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,8,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,2,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,20,5
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,4,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,17,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,12,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,14,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,15,2
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,8,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,15,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,3,2
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,17,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,9,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,7,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,14,5
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,3,4
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,19,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,20,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,6,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,16,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,13,4
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,18,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,16,5
106,Adidas Ultraboost,Fashion,High performance running shoes boost,10,1
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,4,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,11,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,1,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,15,1
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,16,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,8,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,19,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,1,4
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,19,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,18,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,6,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,1,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,18,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,8,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,7,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,3,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,12,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,4,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,20,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,16,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,5,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,9,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,3,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,7,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,17,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,20,5
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,12,5
106,Adidas Ultraboost,Fashion,High performance running shoes boost,8,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,13,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,15,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,6,5
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,4,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,12,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,16,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,16,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,14,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,18,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,2,1
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,20,5
106,Adidas Ultraboost,Fashion,High performance running shoes boost,14,1
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,16,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,20,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,13,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,16,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,12,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,14,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,19,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,13,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,1,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,10,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,11,2
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,4,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,4,5
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,2,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,4,2
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,3,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,13,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,14,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,2,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,19,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,18,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,8,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,20,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,4,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,12,1
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,12,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,18,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,18,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,10,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,10,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,18,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,9,1
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,18,1
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,16,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,10,5
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,6,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,12,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,1,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,3,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,14,5
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,16,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,10,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,17,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,3,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,16,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,19,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,1,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,14,5
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,9,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,17,2
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,3,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,18,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,6,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,2,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,13,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,5,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,12,5
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,10,4
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,3,1
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,12,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,1,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,1,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,16,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,14,4
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,18,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,1,3
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,8,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,1,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,6,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,19,2
108,Levis 501 Jeans,Fashion,Classic original fit denim jeans blue,16,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,4,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,18,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,17,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,18,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,2,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,17,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,17,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,17,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,18,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,10,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,11,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,19,2
