product_id,product_name,category,description,user_id,rating
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,18,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,12,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,12,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,11,1
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,19,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,3,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,4,5
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,2,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,6,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,7,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,18,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,15,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,2,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,16,5
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,18,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,20,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,15,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,14,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,16,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,18,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,17,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,14,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,18,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,7,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,12,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,14,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,7,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,10,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,16,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,19,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,17,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,19,1
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,18,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,16,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,16,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,3,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,13,2
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,6,5
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,20,5
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,4,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,1,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,15,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,5,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,5,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,1,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,12,5
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,4,4
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,15,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,4,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,15,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,1,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,6,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,10,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,16,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,5,1
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,5,2
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,5,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,11,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,19,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,7,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,17,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,4,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,19,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,3,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,2,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,8,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,2,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,5,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,10,5
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,11,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,4,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,18,5
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,17,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,6,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,8,5
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,14,2
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,6,5
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,17,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,8,4
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,6,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,14,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,3,2
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,19,1
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,4,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,11,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,20,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,19,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,14,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,1,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,3,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,14,5
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,17,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,15,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,5,1
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,11,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,17,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,18,5
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,7,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,10,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,19,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,7,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,15,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,7,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,3,4
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,15,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,8,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,7,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,3,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,15,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,13,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,5,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,6,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,1,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,3,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,14,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,12,5
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,9,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,5,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,5,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,5,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,10,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,13,1
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,12,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,2,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,8,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,2,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,4,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,5,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,18,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,16,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,19,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,7,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,14,5
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,16,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,7,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,18,2
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,16,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,13,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,9,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,3,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,6,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,18,4
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,3,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,1,2
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,20,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,5,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,18,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,20,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,4,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,7,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,13,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,8,2
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,11,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,9,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,11,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,11,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,16,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,2,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,5,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,11,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,1,1
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,20,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,6,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,9,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,4
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,13,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,14,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,14,1
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,20,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,3,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,15,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,1,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,16,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,2,5
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,9,4
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,11,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,1,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,3,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,8,5
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,14,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,12,2
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,17,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,4,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,5,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,19,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,12,5
106,Adidas Ultraboost,Fashion,High performance running shoes boost,13,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,15,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,3,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,10,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,10,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,2,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,12,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,17,4
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,3,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,5,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,1,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,14,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,1,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,12,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,13,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,17,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,9,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,2,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,19,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,6,1
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,19,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,15,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,2,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,18,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,19,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,5,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,5,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,10,5
106,Adidas Ultraboost,Fashion,High performance running shoes boost,15,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,6,5
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,10,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,11,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,1,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,20,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,20,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,3,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,8,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,11,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,3,1
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,18,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,9,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,18,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,20,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,4,5
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,5,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,6,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,8,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,18,4
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,3,1
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,11,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,14,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,2,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,11,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,7,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,8,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,20,4
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,17,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,9,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,18,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,4,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,14,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,11,2
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,15,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,8,5
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,15,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,2,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,19,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,12,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,6,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,6,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,2,5
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,4,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,6,5
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,20,5
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,2,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,18,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,2,4
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,18,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,10,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,19,4
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,4,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,17,1
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,1,2
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,2,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,3,3
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,18,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,13,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,7,3
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,7,1
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,3,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,8,1
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,12,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,15,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,17,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,18,2
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,19,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,20,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,19,2
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,15,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,5,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,8,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,8,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,4,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,6,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,13,4
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,17,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,3,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,20,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,12,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,6,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,4,2
106,Adidas Ultraboost,Fashion,High performance running shoes boost,6,4
106,Adidas Ultraboost,Fashion,High performance running shoes boost,1,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,15,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,7,2
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,3,3
106,Adidas Ultraboost,Fashion,High performance running shoes boost,5,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,20,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,15,3
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,17,3
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,1,4
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,1,3
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,13,2
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,20,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,1,2
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,16,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,14,5
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,3,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,20,3
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,20,5
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,11,1
102,MacBook Air M2,Electronics,Apple laptop M2 chip lightweight,18,4
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,6,1
104,PlayStation 5,Electronics,Next gen gaming console 4k graphics,16,4
103,Nike Air Max,Fashion,Running shoes air cushioning comfort,9,1
106,Adidas Ultraboost,Fashion,High performance running shoes boost,12,3
107,iPhone 14 Pro,Electronics,Apple phone dynamic island camera,12,5
101,Sony WH-1000XM5,Electronics,Noise cancelling headphones 30hr battery,1,1
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,2,5
108,Levi's 501 Jeans,Fashion,Classic original fit denim jeans blue,12,2
105,Dell XPS 13,Electronics,Windows laptop infinity edge display,11,1
